Música;Compositor;Tom
A Humanidade;Aloísio Machado;Bm
Água do Rio;Anescarzinho do Salgueiro e Noel Rosa de Oliveira;D
Cantar Para Não Chorar;Heitor dos Prazeres e Paulo Da Portela;F
Coisas Banais;Candeia e Paulinho da Viola;F
Corri Pra Ver;Milton Casquinha e Monarco;
Eu agora sou feliz;José Bispo e Mestre Gato;C
Falam de Mim;Paulinho Da Aba;Dm
Favela;Jorginho e Padeirinho;Bm
Lenha Na Fogueira;Mauro Duarte e Paulo César Pinheiro;G
Maioria Sem Nenhum;Elton Medeiros e Mauro Duarte;Am
Me Deixa Em Paz;Monsueto;
Meu Drama (Senhora Tentação);Sereno;D
Não Diga a Minha Residência;Bide e Marçal;Cm
Opinião;Zé Keti;Em
Peixeiro Granfino;Bretas, Waldir 59 e Candeia;C
Rosa Maria;Eden Silva e Aníbal da Silva;E
Saudosa Mangueira;Herivelto Martins;
Silêncio, Tamborim;Anézio e Wilson Bombeiro;Dm
Yaô;Pixinguinha;F
A voz do Povo;João Do Vale e Luiz Vieira;Dm
Morrendo de saudade;Wilson Moreira e Ney Lopes;F
Na água do rio;Silas De Oliveira;D
Nego Bengela;Roque Ferreira;Em
Tendência;Dona Ivone Lara e Jorge Aragão;A
Carnaval;Mauro Duarte e Adélcio de Carvalho;Am
Cicatrizes;Paulo Cesar Pinheiro e Miltinho;Am
Diz Que Fui por Aí;Zé Keti e Hortêncio Rocha;E
Mas Quem Disse Que Eu Te Esqueço;Dona Ivone Lara e Hermínio Bello de Carvalho;F
Na Linha Do Mar;Paulinho da Viola;F
Nomes de Favela;Paulo César Pinheiro;Bm
Portela Na Avenida;Mauro Duarte e Paulo César Pinheiro;Am
Hino da Portela;Chico Santana;G
Barracão;Luiz Antonio e Oldemar Teixeira De Magalhaes;Fm
Dona Carola;Nelson Cavaquinho;C
Que samba bom;Geraldo Pereira e Arnaldo Passos;C
Cabô, Meu Pai;Aldir Blanc, Moacyr Luz e Luiz Carlos Baptista;G
Canto Das Três Raças;Mauro Duarte e Paulo César Pinheiro;Bm
Ê Baiana;Baianinho, Enio Santos Ribeiro, Fabricio Da Silva e Miguel Pancrácio.;A
Minha Vontade;Chatim;
O Orvalho Vem Caindo;Kid Pepe e Noel Rosa;F
Ouço uma Voz;Jorginho do Império;D
Recado;Casquinha da Portela;E
Vou Partir;Nelson Cavaquinho;D
Cantei pra distrair;;F
Canto de rainha;;F
Doce melodia;;D
É Ouro só (mussum);Originais do Samba;
Eu agora sou feliz;;D
Meu primeiro amor;Marçal;G
Opinião ;;Em
Quantas lágrimas;;G
Quem me vê sorrindo ;;
A cor da Esperança;Cartola;A
A luz de um vencedor;Candeia;A
Barão das Cabrochas;Bide e Marçal;C
Conversa de malandro;;F
Coração vulgar;;Dm
De qualquer Maneira;Candeia;Cm
Golpe errado;Geraldo Pereira;G
Lenha na fogueira;Mauro Duarte;G
Me propagas;;Dm
Nego Bengela;Roque Ferreira;Em
Peito sangrando;Wilson Moreira;G
Pra que pedir perdão;;E
Timidez;Mauro Duarte;Fm
Você passa e eu acho graça;;Dm
